Time: 969.7533316612244
         906194041 function calls (896892143 primitive calls) in 1000.890 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._InValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._InstanceOfValidator>:1(<module>)
        4    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._InstanceOfValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._IsCallableValidator>:1(<module>)
        5    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._IsCallableValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._MatchesReValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._OptionalValidator>:1(<module>)
        2    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._OptionalValidator>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init attr.validators._ProvidesValidator>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.env.GDALVersion>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.ParsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.ParsedPath>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.UnparsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init fiona.path.UnparsedPath>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.env.GDALVersion>:1(<module>)
        6    0.000    0.000    0.000    0.000 <attrs generated init rasterio.env.GDALVersion>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.path.ParsedPath>:1(<module>)
        2    0.000    0.000    0.000    0.000 <attrs generated init rasterio.path.ParsedPath>:1(__init__)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.path.UnparsedPath>:1(<module>)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.windows.Window>:1(<module>)
5206612/5205396    5.737    0.000    9.693    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1582    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:103(release)
      803    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      803    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:147(__enter__)
      803    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1582    0.009    0.000    0.018    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      800    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
      779    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    957/7    0.001    0.000    2.753    0.393 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6563    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      686    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      686    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2744    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      576    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      769    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1241    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:403(cached)
     1243    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
      686    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      686    0.006    0.000    0.033    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  686/682    0.003    0.000    0.685    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      800    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:58(__init__)
    686/7    0.007    0.000    2.767    0.395 <frozen importlib._bootstrap>:663(_load_unlocked)
      768    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
       20    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:740(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     1582    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:78(acquire)
      748    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:792(find_spec)
     3111    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
     3111    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:859(__exit__)
      768    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      768    0.015    0.000    0.481    0.001 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
    803/8    0.006    0.000    2.798    0.350 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    803/8    0.013    0.000    2.799    0.350 <frozen importlib._bootstrap>:978(_find_and_load)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:994(_gcd_import)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    89/88    0.001    0.000    0.644    0.007 <frozen importlib._bootstrap_external>:1040(create_module)
    89/51    0.001    0.000    0.561    0.011 <frozen importlib._bootstrap_external>:1048(exec_module)
       75    0.009    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1370    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      748    0.006    0.000    0.446    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
      748    0.001    0.000    0.448    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
       75    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      665    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1258    0.021    0.000    0.420    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
